idade,horas_estudo_por_dia,frequencia_percentual,escolaridade_dos_pais,nota_matematica,nota_ciencias,nota_ingles,media_ano_anterior,percentual_final
14,,78.0,,91.0,71.0,42.0,72.0,68.0
14,2.3,51.0,Graduate,45.0,38.0,70.0,71.0,51.0
16,3.8,,Postgraduate,65.0,51.0,49.0,87.0,55.0
16,4.5,55.0,High School,55.0,48.0,46.0,81.0,49.67
18,1.6,71.0,Postgraduate,,47.0,78.0,,54.33
19,2.6,69.0,High School,79.0,80.0,43.0,54.0,67.33
18,4.8,59.0,High School,55.0,51.0,94.0,80.0,66.67
14,5.0,56.0,Postgraduate,86.0,77.0,90.0,65.0,84.33
16,3.9,89.0,Graduate,,94.0,56.0,,63.33
18,2.7,74.0,High School,,52.0,38.0,63.0,46.33
15,1.0,68.0,Graduate,44.0,51.0,53.0,,49.33
14,3.3,82.0,Postgraduate,70.0,97.0,,,73.33
18,2.6,69.0,Postgraduate,70.0,38.0,62.0,48.0,56.67
17,3.0,53.0,Postgraduate,,95.0,70.0,77.0,70.67
17,5.2,63.0,High School,97.0,69.0,,,68.67
14,0.6,76.0,High School,50.0,73.0,51.0,56.0,58.0
18,3.9,,High School,43.0,80.0,69.0,74.0,64.0
15,0.8,54.0,High School,100.0,38.0,61.0,59.0,66.33
14,5.3,67.0,Postgraduate,64.0,83.0,93.0,71.0,80.0
19,6.0,52.0,,44.0,81.0,92.0,67.0,72.33
16,1.3,92.0,High School,54.0,,,56.0,47.67
18,4.5,57.0,Postgraduate,82.0,49.0,,85.0,75.67
18,3.5,66.0,Graduate,67.0,40.0,68.0,46.0,58.33
16,4.5,,High School,100.0,70.0,77.0,53.0,82.33
15,3.2,62.0,Graduate,46.0,73.0,58.0,40.0,59.0
16,3.7,84.0,Postgraduate,51.0,96.0,48.0,93.0,65.0
14,3.1,61.0,High School,63.0,,88.0,95.0,66.67
15,,92.0,Graduate,53.0,40.0,63.0,63.0,52.0
18,5.4,92.0,High School,100.0,48.0,79.0,94.0,75.67
15,4.2,97.0,Graduate,48.0,100.0,50.0,61.0,66.0
15,5.2,66.0,Postgraduate,90.0,83.0,56.0,63.0,76.33
18,4.4,76.0,Postgraduate,90.0,56.0,93.0,81.0,79.67
16,5.8,77.0,Graduate,68.0,100.0,86.0,94.0,84.67
15,1.9,99.0,Graduate,,61.0,77.0,53.0,78.33
19,5.7,97.0,High School,87.0,64.0,67.0,64.0,72.67
15,4.3,69.0,Postgraduate,39.0,39.0,99.0,52.0,59.0
15,1.0,81.0,Postgraduate,79.0,37.0,44.0,70.0,53.33
19,2.9,97.0,Graduate,100.0,53.0,77.0,64.0,76.67
18,3.2,64.0,High School,36.0,51.0,96.0,79.0,61.0
16,1.2,59.0,,41.0,40.0,41.0,70.0,40.67
16,5.6,57.0,Graduate,73.0,88.0,95.0,54.0,85.33
15,3.1,55.0,High School,,,,67.0,79.0
14,3.1,100.0,High School,,49.0,46.0,52.0,54.0
19,4.4,100.0,High School,48.0,38.0,84.0,41.0,56.67
18,4.8,54.0,High School,78.0,89.0,52.0,68.0,73.0
17,5.2,62.0,Postgraduate,57.0,48.0,91.0,56.0,65.33
15,5.5,85.0,Graduate,48.0,56.0,54.0,62.0,52.67
16,5.0,,Graduate,82.0,78.0,94.0,54.0,84.67
19,2.4,93.0,Graduate,78.0,80.0,48.0,45.0,68.67
14,3.4,,Postgraduate,55.0,84.0,47.0,59.0,62.0
14,5.5,85.0,High School,73.0,83.0,59.0,68.0,71.67
19,5.2,94.0,,72.0,63.0,49.0,68.0,61.33
14,5.5,79.0,Graduate,,70.0,80.0,81.0,69.67
15,3.0,100.0,Postgraduate,36.0,85.0,54.0,43.0,58.33
19,3.0,85.0,High School,,,66.0,88.0,72.0
14,1.9,61.0,Postgraduate,50.0,81.0,58.0,89.0,63.0
14,5.3,77.0,Postgraduate,68.0,68.0,44.0,68.0,60.0
18,1.7,62.0,Postgraduate,35.0,48.0,91.0,85.0,58.0
16,4.8,85.0,High School,68.0,61.0,50.0,48.0,59.67
19,4.8,74.0,High School,64.0,49.0,41.0,53.0,51.33
15,3.8,,Postgraduate,48.0,35.0,35.0,44.0,39.33
16,3.6,,Postgraduate,66.0,67.0,,62.0,57.67
18,,77.0,High School,44.0,87.0,37.0,,56.0
14,2.9,79.0,Graduate,63.0,63.0,50.0,52.0,58.67
14,1.9,71.0,Graduate,44.0,62.0,81.0,49.0,62.33
15,2.8,69.0,Postgraduate,49.0,63.0,80.0,62.0,64.0
17,1.9,95.0,Graduate,,84.0,96.0,51.0,84.33
16,3.7,96.0,Postgraduate,95.0,54.0,49.0,57.0,66.0
18,3.9,85.0,Postgraduate,43.0,99.0,69.0,62.0,70.33
15,3.0,79.0,Graduate,93.0,72.0,68.0,,77.67
16,4.2,81.0,High School,90.0,49.0,,79.0,79.67
18,3.1,81.0,,49.0,88.0,57.0,68.0,64.67
18,4.8,64.0,Graduate,94.0,,74.0,53.0,82.33
14,4.4,64.0,Postgraduate,57.0,96.0,66.0,49.0,73.0
19,3.6,72.0,Postgraduate,63.0,40.0,88.0,67.0,63.67
17,2.0,74.0,Postgraduate,48.0,85.0,96.0,66.0,76.33
16,5.4,71.0,High School,83.0,65.0,71.0,63.0,73.0
14,1.2,58.0,,60.0,60.0,68.0,42.0,62.67
15,5.7,99.0,Postgraduate,63.0,,97.0,71.0,65.33
18,2.3,,Graduate,81.0,42.0,64.0,66.0,62.33
14,4.7,,Postgraduate,89.0,88.0,38.0,48.0,71.67
19,5.1,74.0,High School,75.0,54.0,79.0,83.0,69.33
18,0.6,,Postgraduate,85.0,,78.0,86.0,79.0
16,1.3,85.0,Postgraduate,43.0,,92.0,64.0,65.0
17,4.0,72.0,Postgraduate,,,51.0,74.0,60.0
17,0.8,87.0,High School,59.0,88.0,91.0,68.0,79.33
19,,96.0,Graduate,62.0,84.0,91.0,,79.0
17,1.9,83.0,High School,57.0,49.0,39.0,64.0,48.33
14,0.8,85.0,Postgraduate,52.0,81.0,65.0,42.0,66.0
18,2.7,93.0,Postgraduate,72.0,47.0,57.0,85.0,58.67
18,1.2,53.0,Postgraduate,36.0,95.0,36.0,60.0,55.67
19,5.9,79.0,High School,55.0,80.0,89.0,95.0,74.67
17,4.6,60.0,Postgraduate,91.0,36.0,51.0,45.0,59.33
16,2.9,54.0,,97.0,,39.0,69.0,62.0
17,5.6,86.0,Graduate,81.0,50.0,,49.0,75.33
19,,,Postgraduate,88.0,44.0,74.0,88.0,68.67
17,1.7,57.0,High School,44.0,70.0,61.0,78.0,58.33
16,1.4,,High School,92.0,60.0,74.0,41.0,75.33
16,2.9,90.0,Postgraduate,81.0,76.0,89.0,80.0,82.0
14,2.5,,High School,50.0,90.0,93.0,91.0,77.67
17,4.1,62.0,High School,85.0,54.0,93.0,50.0,77.33
16,5.2,72.0,High School,100.0,56.0,51.0,47.0,69.0
15,4.3,89.0,Graduate,80.0,44.0,80.0,51.0,68.0
14,1.3,64.0,High School,68.0,71.0,36.0,55.0,58.33
18,3.0,100.0,Graduate,68.0,79.0,46.0,74.0,64.33
18,0.9,75.0,High School,94.0,86.0,36.0,70.0,72.0
16,1.8,97.0,,66.0,70.0,84.0,75.0,73.33
19,2.8,67.0,High School,37.0,65.0,66.0,46.0,56.0
14,4.2,82.0,Graduate,56.0,89.0,88.0,83.0,77.67
18,3.8,78.0,Graduate,93.0,,46.0,50.0,61.67
15,2.1,70.0,High School,,49.0,39.0,55.0,58.67
19,5.8,,Graduate,71.0,91.0,50.0,,70.67
16,5.8,87.0,Graduate,86.0,36.0,81.0,65.0,67.67
19,3.7,70.0,Postgraduate,89.0,40.0,87.0,,72.0
19,,88.0,Postgraduate,96.0,58.0,93.0,73.0,82.33
15,0.9,79.0,Postgraduate,67.0,89.0,39.0,74.0,65.0
18,5.0,81.0,Postgraduate,92.0,35.0,79.0,71.0,68.67
16,,72.0,High School,58.0,51.0,66.0,73.0,58.33
18,0.7,81.0,High School,55.0,,91.0,89.0,78.0
19,2.4,63.0,Graduate,55.0,35.0,40.0,73.0,43.33
14,5.0,89.0,Postgraduate,38.0,47.0,76.0,76.0,53.67
19,,55.0,Postgraduate,88.0,68.0,73.0,51.0,76.33
18,4.0,84.0,High School,62.0,64.0,,60.0,63.33
18,2.1,94.0,Postgraduate,84.0,62.0,94.0,85.0,80.0
19,5.4,97.0,High School,38.0,43.0,99.0,61.0,60.0
19,5.7,97.0,High School,60.0,75.0,,58.0,60.0
15,3.1,,Graduate,94.0,82.0,65.0,64.0,80.33
14,5.7,94.0,Graduate,89.0,78.0,93.0,92.0,86.67
19,,89.0,Postgraduate,70.0,51.0,65.0,72.0,62.0
15,,97.0,Postgraduate,60.0,65.0,61.0,88.0,62.0
19,5.4,62.0,High School,71.0,60.0,51.0,,60.67
17,4.8,68.0,Graduate,67.0,81.0,73.0,76.0,73.67
18,5.7,78.0,Postgraduate,89.0,99.0,48.0,72.0,78.67
15,4.9,58.0,Postgraduate,36.0,92.0,45.0,51.0,57.67
19,5.7,63.0,Postgraduate,35.0,41.0,52.0,76.0,42.67
16,1.8,53.0,,63.0,73.0,49.0,75.0,61.67
16,3.9,,Graduate,89.0,45.0,,64.0,61.67
16,2.0,60.0,Postgraduate,86.0,60.0,44.0,93.0,63.33
18,0.5,84.0,Graduate,83.0,68.0,60.0,50.0,70.33
15,2.2,69.0,High School,66.0,74.0,69.0,48.0,69.67
14,2.0,66.0,,,45.0,97.0,90.0,73.0
18,4.3,63.0,Graduate,64.0,,73.0,44.0,57.33
14,0.6,83.0,Graduate,48.0,86.0,87.0,58.0,73.67
17,1.8,95.0,Graduate,89.0,64.0,37.0,,63.33
14,5.5,75.0,Postgraduate,90.0,68.0,37.0,85.0,65.0
16,4.0,70.0,Postgraduate,81.0,79.0,77.0,54.0,79.0
18,4.4,73.0,High School,72.0,60.0,56.0,86.0,62.67
14,6.0,72.0,,43.0,84.0,88.0,55.0,71.67
15,3.4,90.0,Graduate,45.0,70.0,95.0,,70.0
19,3.6,63.0,Graduate,44.0,89.0,99.0,95.0,77.33
14,0.6,67.0,High School,99.0,48.0,,70.0,64.0
14,2.0,71.0,Postgraduate,87.0,56.0,44.0,87.0,62.33
16,2.2,67.0,Postgraduate,81.0,90.0,93.0,62.0,88.0
18,5.7,95.0,Postgraduate,42.0,48.0,41.0,61.0,43.67
14,3.6,66.0,Graduate,98.0,82.0,72.0,92.0,84.0
16,5.3,55.0,High School,80.0,65.0,43.0,76.0,62.67
18,5.5,93.0,Postgraduate,,64.0,,77.0,67.0
14,5.3,60.0,Postgraduate,94.0,68.0,77.0,84.0,79.67
17,1.7,53.0,Postgraduate,37.0,55.0,60.0,60.0,50.67
19,1.0,87.0,Postgraduate,91.0,83.0,65.0,,79.67
17,,99.0,High School,42.0,72.0,56.0,82.0,56.67
18,3.4,92.0,Graduate,41.0,74.0,87.0,52.0,67.33
17,2.6,81.0,Postgraduate,73.0,,81.0,47.0,70.33
16,3.2,66.0,Postgraduate,,36.0,47.0,40.0,51.67
14,1.1,81.0,Graduate,77.0,88.0,88.0,59.0,84.33
14,5.9,90.0,Graduate,,51.0,51.0,50.0,63.0
18,5.2,60.0,Graduate,87.0,55.0,38.0,80.0,60.0
16,4.9,95.0,High School,75.0,72.0,53.0,70.0,66.67
18,2.4,63.0,High School,73.0,76.0,94.0,92.0,81.0
15,3.6,57.0,Postgraduate,,,75.0,73.0,74.33
17,1.6,63.0,Postgraduate,57.0,94.0,72.0,43.0,74.33
16,0.5,78.0,Graduate,68.0,44.0,43.0,69.0,51.67
19,0.9,95.0,Postgraduate,72.0,38.0,79.0,40.0,63.0
16,4.4,92.0,Postgraduate,44.0,79.0,67.0,89.0,63.33
18,,65.0,High School,65.0,99.0,49.0,70.0,71.0
18,5.7,61.0,Postgraduate,,78.0,88.0,68.0,80.0
15,1.5,93.0,Postgraduate,83.0,49.0,52.0,62.0,61.33
18,1.6,53.0,High School,,37.0,41.0,93.0,50.33
14,4.9,52.0,Postgraduate,79.0,100.0,91.0,72.0,90.0
14,5.9,97.0,Graduate,85.0,81.0,51.0,93.0,72.33
18,3.8,,Postgraduate,69.0,57.0,90.0,64.0,72.0
14,2.2,76.0,Graduate,37.0,57.0,62.0,63.0,52.0
17,1.2,90.0,Graduate,60.0,,83.0,76.0,69.67
16,1.8,79.0,,68.0,35.0,75.0,49.0,59.33
16,4.3,82.0,Postgraduate,66.0,40.0,35.0,82.0,47.0
18,,79.0,Postgraduate,78.0,77.0,81.0,51.0,78.67
17,4.3,98.0,Graduate,58.0,,75.0,66.0,72.33
15,2.6,57.0,High School,84.0,57.0,66.0,63.0,69.0
17,3.4,61.0,Postgraduate,77.0,74.0,73.0,42.0,74.67
16,3.7,85.0,Postgraduate,97.0,41.0,59.0,72.0,65.67
19,3.6,83.0,High School,56.0,52.0,89.0,66.0,65.67
18,,73.0,High School,71.0,40.0,86.0,75.0,65.67
19,,97.0,Postgraduate,66.0,69.0,82.0,75.0,72.33
15,1.2,60.0,Postgraduate,88.0,75.0,51.0,,71.33
18,2.0,83.0,Graduate,89.0,86.0,79.0,56.0,84.67
16,2.3,91.0,Postgraduate,47.0,85.0,72.0,59.0,68.0
17,0.9,88.0,Postgraduate,44.0,80.0,58.0,88.0,60.67
15,0.9,66.0,Graduate,,95.0,58.0,53.0,74.33
15,4.4,94.0,Postgraduate,53.0,42.0,76.0,68.0,57.0
19,3.6,,Graduate,57.0,81.0,64.0,95.0,67.33
18,,86.0,Postgraduate,49.0,52.0,55.0,54.0,52.0
18,3.8,52.0,Postgraduate,69.0,54.0,87.0,95.0,70.0
17,5.6,50.0,Graduate,78.0,72.0,51.0,44.0,67.0
18,1.1,55.0,Graduate,40.0,74.0,81.0,48.0,65.0
16,1.8,66.0,Graduate,92.0,55.0,53.0,82.0,66.67
14,1.5,79.0,Postgraduate,37.0,36.0,44.0,78.0,39.0
19,5.8,68.0,Postgraduate,64.0,40.0,49.0,69.0,51.0
16,5.7,78.0,Postgraduate,76.0,55.0,71.0,73.0,67.33
16,3.9,60.0,Graduate,42.0,79.0,47.0,,56.0
19,2.0,58.0,Graduate,46.0,100.0,,,76.0
14,,92.0,,62.0,66.0,,79.0,55.0
16,5.7,56.0,Graduate,51.0,44.0,57.0,70.0,50.67
19,5.6,70.0,Postgraduate,97.0,62.0,91.0,92.0,83.33
15,5.3,83.0,High School,82.0,53.0,78.0,65.0,71.0
16,5.9,70.0,Postgraduate,49.0,91.0,35.0,95.0,58.33
19,,67.0,High School,98.0,71.0,78.0,59.0,82.33
15,,94.0,Postgraduate,75.0,54.0,94.0,69.0,74.33
16,2.4,91.0,Postgraduate,44.0,59.0,86.0,46.0,63.0
18,4.5,88.0,High School,73.0,49.0,57.0,47.0,59.67
16,2.4,51.0,Postgraduate,90.0,68.0,50.0,83.0,69.33
16,0.6,72.0,Graduate,79.0,50.0,99.0,72.0,76.0
18,1.7,72.0,,35.0,,38.0,44.0,45.0
17,2.1,52.0,,65.0,99.0,82.0,67.0,82.0
16,1.1,83.0,High School,87.0,,38.0,81.0,64.67
16,4.6,84.0,Graduate,43.0,69.0,40.0,,50.67
14,1.9,69.0,Graduate,41.0,85.0,56.0,,60.67
14,2.1,62.0,Graduate,43.0,90.0,49.0,49.0,60.67
19,,56.0,High School,37.0,99.0,96.0,74.0,77.33
17,5.2,99.0,High School,93.0,68.0,48.0,85.0,69.67
16,,79.0,High School,,48.0,76.0,61.0,59.0
18,4.7,96.0,High School,41.0,50.0,35.0,48.0,42.0
15,4.9,55.0,,46.0,74.0,52.0,80.0,57.33
19,1.1,84.0,,,51.0,59.0,95.0,54.67
14,1.9,61.0,Postgraduate,77.0,50.0,41.0,84.0,56.0
15,3.6,91.0,High School,64.0,69.0,90.0,65.0,74.33
15,4.2,70.0,Postgraduate,78.0,86.0,49.0,49.0,71.0
17,3.3,52.0,,100.0,73.0,98.0,66.0,90.33
18,5.5,87.0,Graduate,98.0,70.0,47.0,54.0,71.67
16,4.8,61.0,Graduate,51.0,58.0,99.0,,69.33
18,5.7,80.0,Graduate,73.0,39.0,70.0,69.0,60.67
17,2.3,74.0,Postgraduate,69.0,90.0,61.0,42.0,73.33
19,3.2,57.0,Postgraduate,48.0,73.0,55.0,52.0,58.67
17,5.2,98.0,Graduate,68.0,90.0,38.0,50.0,65.33
18,3.8,84.0,Postgraduate,93.0,37.0,48.0,69.0,59.33
17,2.0,68.0,High School,81.0,79.0,70.0,43.0,76.67
15,2.1,55.0,Postgraduate,95.0,,84.0,67.0,83.33
17,,,Postgraduate,73.0,,90.0,83.0,81.33
18,1.3,84.0,Graduate,57.0,50.0,94.0,94.0,67.0
16,2.4,51.0,Graduate,82.0,98.0,71.0,95.0,83.67
14,2.5,78.0,Graduate,39.0,86.0,68.0,91.0,64.33
19,0.8,90.0,,39.0,42.0,91.0,44.0,57.33
15,5.3,96.0,High School,88.0,60.0,62.0,44.0,70.0
15,5.1,68.0,High School,65.0,57.0,37.0,84.0,53.0
19,5.3,97.0,Postgraduate,71.0,58.0,56.0,50.0,61.67
14,1.2,64.0,High School,85.0,,53.0,42.0,63.33
16,0.6,91.0,High School,70.0,96.0,92.0,80.0,86.0
18,2.5,,,37.0,43.0,38.0,49.0,39.33
17,1.4,,Postgraduate,61.0,100.0,56.0,85.0,72.33
17,4.7,53.0,Graduate,78.0,35.0,99.0,,70.67
14,2.9,93.0,Postgraduate,95.0,83.0,54.0,92.0,77.33
14,3.6,78.0,Graduate,,91.0,55.0,65.0,61.0
14,2.8,58.0,High School,66.0,69.0,84.0,59.0,73.0
17,2.4,81.0,High School,92.0,69.0,,69.0,85.67
14,4.6,58.0,Graduate,95.0,39.0,57.0,83.0,63.67
19,1.9,73.0,Graduate,62.0,63.0,59.0,65.0,61.33
16,,79.0,High School,94.0,63.0,46.0,44.0,67.67
17,,51.0,Graduate,100.0,57.0,53.0,75.0,70.0
18,0.8,75.0,High School,78.0,78.0,72.0,70.0,76.0
18,3.1,73.0,High School,66.0,,85.0,92.0,66.0
19,2.4,62.0,Postgraduate,46.0,83.0,,88.0,72.67
17,1.2,64.0,Graduate,40.0,68.0,60.0,88.0,56.0
16,5.2,68.0,Graduate,49.0,79.0,45.0,49.0,57.67
17,1.9,,High School,81.0,90.0,84.0,68.0,85.0
18,4.7,64.0,Graduate,76.0,58.0,84.0,70.0,72.67
18,3.2,93.0,High School,63.0,94.0,93.0,58.0,83.33
15,1.1,89.0,Postgraduate,72.0,74.0,53.0,57.0,66.33
16,,88.0,High School,,89.0,85.0,56.0,77.0
15,5.8,,Graduate,55.0,54.0,61.0,71.0,56.67
16,3.2,97.0,,36.0,97.0,76.0,84.0,69.67
14,4.1,,Graduate,94.0,77.0,97.0,56.0,89.33
18,4.7,71.0,Postgraduate,37.0,60.0,94.0,71.0,63.67
14,0.9,51.0,High School,87.0,57.0,41.0,68.0,61.67
18,0.5,78.0,Postgraduate,71.0,67.0,97.0,85.0,78.33
18,2.8,93.0,Postgraduate,90.0,87.0,99.0,52.0,92.0
15,2.7,79.0,Postgraduate,,92.0,71.0,89.0,75.67
17,4.3,95.0,High School,86.0,94.0,79.0,50.0,86.33
17,2.9,56.0,Graduate,75.0,67.0,37.0,76.0,59.67
19,3.4,,Postgraduate,36.0,65.0,76.0,63.0,59.0
19,3.7,89.0,Graduate,65.0,86.0,76.0,55.0,75.67
16,1.9,55.0,High School,39.0,97.0,41.0,91.0,59.0
15,1.5,70.0,Postgraduate,79.0,42.0,56.0,67.0,59.0
14,0.9,100.0,Graduate,91.0,99.0,46.0,,78.67
16,4.5,58.0,Postgraduate,79.0,81.0,84.0,41.0,81.33
18,3.2,69.0,Graduate,82.0,59.0,75.0,65.0,72.0
16,1.3,52.0,Postgraduate,49.0,72.0,74.0,48.0,65.0
16,3.6,85.0,High School,98.0,59.0,78.0,56.0,78.33
17,5.3,72.0,Graduate,72.0,66.0,74.0,,70.67
18,1.4,52.0,Graduate,,70.0,,94.0,58.33
14,5.8,53.0,Postgraduate,72.0,39.0,39.0,87.0,50.0
18,2.6,79.0,High School,82.0,96.0,55.0,46.0,77.67
15,5.2,50.0,Graduate,49.0,49.0,81.0,55.0,59.67
17,3.6,77.0,Postgraduate,77.0,,91.0,58.0,77.33
18,4.7,,Postgraduate,57.0,68.0,37.0,63.0,54.0
19,2.8,53.0,Postgraduate,62.0,70.0,61.0,82.0,64.33
14,3.6,77.0,Postgraduate,57.0,,61.0,40.0,53.67
19,5.0,76.0,Postgraduate,64.0,94.0,38.0,49.0,65.33
19,1.3,82.0,Graduate,,81.0,71.0,,79.33
14,4.8,81.0,Graduate,38.0,51.0,63.0,73.0,50.67
18,1.6,82.0,Postgraduate,72.0,100.0,47.0,50.0,73.0
18,4.7,,Postgraduate,59.0,47.0,93.0,46.0,66.33
16,0.6,92.0,Graduate,89.0,74.0,55.0,,72.67
14,1.0,100.0,Postgraduate,70.0,89.0,75.0,46.0,78.0
14,4.6,74.0,Graduate,38.0,56.0,48.0,48.0,47.33
15,4.1,93.0,,84.0,88.0,49.0,,73.67
14,4.4,98.0,High School,93.0,36.0,56.0,82.0,61.67
14,5.5,53.0,Graduate,81.0,90.0,54.0,76.0,75.0
15,5.5,79.0,Postgraduate,100.0,64.0,35.0,43.0,66.33
18,1.7,73.0,,65.0,95.0,57.0,,72.33
14,,51.0,High School,90.0,76.0,82.0,88.0,82.67
18,1.4,64.0,Postgraduate,43.0,50.0,94.0,,62.33
16,1.5,60.0,Graduate,99.0,61.0,71.0,84.0,77.0
19,4.3,73.0,High School,82.0,98.0,37.0,,72.33
16,2.2,97.0,Postgraduate,71.0,43.0,85.0,69.0,66.33
19,5.2,75.0,High School,60.0,37.0,82.0,60.0,59.67
17,4.7,96.0,Graduate,43.0,74.0,90.0,40.0,69.0
15,3.1,62.0,High School,48.0,35.0,42.0,54.0,41.67
17,2.9,89.0,Graduate,96.0,35.0,53.0,83.0,61.33
14,1.1,93.0,Graduate,93.0,80.0,85.0,61.0,86.0
19,0.9,56.0,High School,39.0,,35.0,63.0,44.67
14,,89.0,High School,68.0,92.0,,75.0,69.33
17,4.1,70.0,Graduate,82.0,92.0,39.0,50.0,71.0
16,5.6,,Graduate,79.0,46.0,56.0,43.0,60.33
17,1.3,86.0,High School,65.0,67.0,67.0,56.0,66.33
18,2.9,73.0,Graduate,68.0,48.0,60.0,78.0,58.67
17,1.5,89.0,High School,50.0,89.0,45.0,78.0,61.33
14,2.9,86.0,Postgraduate,89.0,99.0,48.0,76.0,78.67
18,1.0,84.0,Postgraduate,53.0,,42.0,44.0,52.67
16,5.7,,High School,78.0,93.0,72.0,50.0,81.0
14,6.0,75.0,Graduate,,44.0,61.0,87.0,52.0
15,1.8,97.0,,89.0,50.0,89.0,46.0,76.0
17,,79.0,Postgraduate,,77.0,46.0,64.0,70.33
16,5.7,86.0,High School,88.0,79.0,61.0,52.0,76.0
17,4.8,96.0,Graduate,43.0,88.0,38.0,41.0,56.33
19,,76.0,High School,83.0,73.0,77.0,66.0,77.67
17,2.5,63.0,Graduate,44.0,100.0,92.0,,78.67
18,0.7,70.0,Graduate,59.0,,,,80.33
18,4.2,52.0,Postgraduate,55.0,95.0,77.0,,75.67
17,2.0,85.0,Postgraduate,56.0,,80.0,64.0,70.67
15,4.9,90.0,High School,72.0,72.0,56.0,70.0,66.67
19,,,Graduate,35.0,41.0,55.0,63.0,43.67
16,0.6,69.0,High School,47.0,69.0,86.0,53.0,67.33
18,4.1,91.0,Graduate,71.0,35.0,52.0,43.0,52.67
14,5.4,53.0,Postgraduate,70.0,70.0,,48.0,69.0
17,,90.0,Postgraduate,74.0,100.0,36.0,86.0,70.0
17,1.0,100.0,High School,56.0,100.0,97.0,91.0,84.33
16,2.7,50.0,,41.0,94.0,,40.0,71.67
15,5.1,85.0,Graduate,45.0,43.0,97.0,83.0,61.67
17,3.5,85.0,Postgraduate,82.0,58.0,53.0,95.0,64.33
19,5.7,57.0,High School,95.0,37.0,51.0,67.0,61.0
15,3.8,70.0,Postgraduate,79.0,,78.0,73.0,64.33
19,1.8,72.0,Graduate,,,78.0,79.0,65.67
16,5.7,85.0,Graduate,71.0,56.0,80.0,,69.0
18,,73.0,High School,47.0,41.0,95.0,95.0,61.0
15,2.1,81.0,Graduate,66.0,,49.0,85.0,70.33
18,2.1,95.0,Postgraduate,59.0,88.0,,70.0,64.0
14,2.8,95.0,Graduate,38.0,83.0,44.0,51.0,55.0
17,4.1,79.0,Graduate,85.0,43.0,,85.0,73.33
18,2.9,75.0,High School,66.0,61.0,43.0,57.0,56.67
15,1.4,,Graduate,75.0,53.0,,91.0,59.67
15,2.0,62.0,Postgraduate,73.0,40.0,64.0,84.0,59.0
19,3.0,,Postgraduate,56.0,91.0,90.0,93.0,79.0
16,3.8,53.0,High School,48.0,83.0,74.0,74.0,68.33
18,1.4,80.0,Graduate,42.0,45.0,35.0,86.0,40.67
19,1.1,77.0,Graduate,89.0,70.0,79.0,60.0,79.33
16,3.2,61.0,Postgraduate,86.0,43.0,35.0,94.0,54.67
17,2.1,,,59.0,50.0,39.0,57.0,49.33
16,4.9,87.0,Graduate,51.0,86.0,51.0,68.0,62.67
16,2.0,96.0,Postgraduate,78.0,42.0,53.0,82.0,57.67
14,3.1,87.0,High School,83.0,72.0,89.0,49.0,81.33
17,2.8,99.0,,69.0,81.0,55.0,41.0,68.33
15,1.1,88.0,Postgraduate,89.0,74.0,42.0,67.0,68.33
15,,92.0,High School,53.0,36.0,98.0,79.0,62.33
15,5.5,91.0,Graduate,81.0,82.0,66.0,62.0,76.33
15,0.9,98.0,Postgraduate,76.0,65.0,95.0,90.0,78.67
16,4.0,73.0,High School,82.0,48.0,96.0,69.0,75.33
18,1.7,,Graduate,67.0,44.0,80.0,91.0,63.67
18,1.2,91.0,High School,69.0,48.0,99.0,48.0,72.0
19,1.7,85.0,Postgraduate,67.0,,90.0,59.0,75.0
14,2.8,67.0,High School,,82.0,55.0,44.0,78.33
15,4.2,55.0,High School,73.0,36.0,57.0,43.0,55.33
15,3.3,50.0,High School,58.0,90.0,59.0,68.0,69.0
15,4.3,67.0,Graduate,79.0,47.0,100.0,64.0,75.33
19,,,,66.0,61.0,88.0,62.0,71.67
19,4.2,80.0,High School,79.0,69.0,60.0,83.0,69.33
16,5.4,,High School,91.0,50.0,48.0,93.0,63.0
14,1.3,50.0,Postgraduate,83.0,96.0,35.0,91.0,71.33
15,5.6,51.0,Graduate,91.0,38.0,59.0,43.0,62.67
15,2.4,77.0,,44.0,36.0,80.0,,53.33
18,2.1,69.0,Graduate,79.0,46.0,69.0,73.0,64.67
14,4.2,64.0,Postgraduate,76.0,55.0,51.0,61.0,60.67
16,2.3,100.0,High School,43.0,95.0,50.0,69.0,62.67
18,5.0,64.0,High School,47.0,47.0,88.0,53.0,60.67
14,6.0,90.0,Graduate,77.0,90.0,93.0,94.0,86.67
19,4.0,91.0,High School,89.0,60.0,77.0,95.0,75.33
19,2.9,89.0,High School,79.0,65.0,85.0,73.0,76.33
15,2.1,96.0,High School,67.0,43.0,98.0,44.0,69.33
16,4.7,80.0,High School,39.0,82.0,42.0,42.0,54.33
14,4.5,64.0,Graduate,89.0,75.0,65.0,60.0,76.33
16,5.4,50.0,Graduate,92.0,72.0,52.0,69.0,72.0
14,1.3,55.0,Graduate,91.0,95.0,99.0,,95.0
16,,,Postgraduate,42.0,61.0,99.0,61.0,67.33
19,3.7,78.0,High School,77.0,84.0,92.0,40.0,84.33
14,2.9,74.0,Graduate,48.0,64.0,,41.0,65.33
19,5.2,58.0,High School,69.0,76.0,76.0,82.0,73.67
19,5.0,80.0,Graduate,98.0,72.0,73.0,70.0,81.0
14,3.1,65.0,High School,47.0,85.0,99.0,91.0,77.0
